Description:           Daily Index of EDGAR Dissemination Feed
Last Data Received:    Jan  4, 2013
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
CIK|Company Name|Form Type|Date Filed|File Name
--------------------------------------------------------------------------------
1000069|EMPIRIC FUNDS, INC|497J|20130104|edgar/data/1000069/0000894189-13-000047.txt
1000180|SANDISK CORP|4|20130104|edgar/data/1000180/0001242648-13-000001.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20130104|edgar/data/1000232/0001179110-13-000330.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20130104|edgar/data/1000232/0001179110-13-000331.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20130104|edgar/data/1000232/0001179110-13-000332.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20130104|edgar/data/1000232/0001179110-13-000333.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20130104|edgar/data/1000232/0001179110-13-000334.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20130104|edgar/data/1000232/0001179110-13-000335.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20130104|edgar/data/1000232/0001179110-13-000336.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20130104|edgar/data/1000232/0001179110-13-000337.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20130104|edgar/data/1000232/0001179110-13-000338.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20130104|edgar/data/1000232/0001179110-13-000339.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20130104|edgar/data/1000232/0001179110-13-000340.txt
1000275|ROYAL BANK OF CANADA|424B2|20130104|edgar/data/1000275/0001214659-13-000043.txt
1000275|ROYAL BANK OF CANADA|FWP|20130104|edgar/data/1000275/0001214659-13-000037.txt
1000275|ROYAL BANK OF CANADA|FWP|20130104|edgar/data/1000275/0001214659-13-000046.txt
1000275|ROYAL BANK OF CANADA|FWP|20130104|edgar/data/1000275/0001214659-13-000048.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|4|20130104|edgar/data/1000623/0001000623-13-000009.txt
1000697|WATERS CORP /DE/|4|20130104|edgar/data/1000697/0001127602-13-001079.txt
1000697|WATERS CORP /DE/|4|20130104|edgar/data/1000697/0001127602-13-001080.txt
1000697|WATERS CORP /DE/|4|20130104|edgar/data/1000697/0001127602-13-001081.txt
1000697|WATERS CORP /DE/|4|20130104|edgar/data/1000697/0001127602-13-001082.txt
1000697|WATERS CORP /DE/|4|20130104|edgar/data/1000697/0001127602-13-001083.txt
1000697|WATERS CORP /DE/|4|20130104|edgar/data/1000697/0001127602-13-001084.txt
1000697|WATERS CORP /DE/|4|20130104|edgar/data/1000697/0001127602-13-001085.txt
1000697|WATERS CORP /DE/|4|20130104|edgar/data/1000697/0001127602-13-001087.txt
1001082|DISH Network CORP|4|20130104|edgar/data/1001082/0001197815-13-000004.txt
1001115|GEOSPACE TECHNOLOGIES CORP|DEF 14A|20130104|edgar/data/1001115/0001193125-13-002556.txt
1001233|SANGAMO BIOSCIENCES INC|4|20130104|edgar/data/1001233/0001181431-13-001837.txt
1001391|DAVIDSON CHARLES E|4|20130104|edgar/data/1001391/0001140361-13-001146.txt
1001601|MGT CAPITAL INVESTMENTS INC|S-3/A|20130104|edgar/data/1001601/0001144204-13-000819.txt
1002517|Nuance Communications, Inc.|4|20130104|edgar/data/1002517/0001218326-13-000004.txt
1004673|Entertainment Gaming Asia Inc.|4|20130104|edgar/data/1004673/0001179110-13-000327.txt
1004673|Entertainment Gaming Asia Inc.|4|20130104|edgar/data/1004673/0001179110-13-000328.txt
1004724|ADCARE HEALTH SYSTEMS INC|8-K|20130104|edgar/data/1004724/0001104659-13-000794.txt
100493|TYSON FOODS INC|4|20130104|edgar/data/100493/0000100493-13-000002.txt
1004980|PG&E Corp|4|20130104|edgar/data/1004980/0001127602-13-001227.txt
1005010|ARTHROCARE CORP|8-K|20130104|edgar/data/1005010/0001104659-13-000565.txt
100517|United Continental Holdings, Inc.|4|20130104|edgar/data/100517/0001127602-13-001128.txt
1005286|LANDEC CORP \CA\|10-Q|20130104|edgar/data/1005286/0001437749-13-000212.txt
1005409|DIME COMMUNITY BANCSHARES INC|4|20130104|edgar/data/1005409/0001127602-13-000997.txt
1005409|DIME COMMUNITY BANCSHARES INC|4|20130104|edgar/data/1005409/0001127602-13-001003.txt
1006053|AVRIL VICKI L|4|20130104|edgar/data/1006053/0001181431-13-001535.txt
1007009|JACKSON VFL VARIABLE ANNUITY SEPARATE ACCOUNT|497J|20130104|edgar/data/1007009/0001007009-13-000002.txt
1007009|JACKSON VFL VARIABLE ANNUITY SEPARATE ACCOUNT|497J|20130104|edgar/data/1007009/0001007009-13-000004.txt
1007010|JACKSON VFL VARIABLE LIFE SEPARATE ACCOUNT|497J|20130104|edgar/data/1007010/0001007010-13-000002.txt
1007010|JACKSON VFL VARIABLE LIFE SEPARATE ACCOUNT|497J|20130104|edgar/data/1007010/0001007010-13-000004.txt
1007010|JACKSON VFL VARIABLE LIFE SEPARATE ACCOUNT|497J|20130104|edgar/data/1007010/0001007010-13-000006.txt
1007010|JACKSON VFL VARIABLE LIFE SEPARATE ACCOUNT|497J|20130104|edgar/data/1007010/0001007010-13-000008.txt
1007280|PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO|SC 13D/A|20130104|edgar/data/1007280/0001007280-13-000002.txt
1007551|WATSON MAX P|4|20130104|edgar/data/1007551/0001127602-13-001202.txt
1007660|SWANSTROM KENNETH A|4|20130104|edgar/data/1007660/0001140361-13-001083.txt
1007931|LEBUHN ROBERT|4|20130104|edgar/data/1007931/0001144204-13-000668.txt
1008586|STREAMLINE HEALTH SOLUTIONS INC.|3|20130104|edgar/data/1008586/0001209191-13-002215.txt
1009139|RINGLER JAMES M|4|20130104|edgar/data/1009139/0001127602-13-001222.txt
1009151|WYATT JOE B|4|20130104|edgar/data/1009151/0001179110-13-000407.txt
1009356|SALIX PHARMACEUTICALS LTD|4|20130104|edgar/data/1009356/0001209191-13-002110.txt
1009356|SALIX PHARMACEUTICALS LTD|4|20130104|edgar/data/1009356/0001209191-13-002112.txt
1009356|SALIX PHARMACEUTICALS LTD|4|20130104|edgar/data/1009356/0001209191-13-002117.txt
1009356|SALIX PHARMACEUTICALS LTD|4|20130104|edgar/data/1009356/0001209191-13-002121.txt
1010178|TISCH JAMES S|4|20130104|edgar/data/1010178/0001231205-13-000016.txt
1012106|LATAIF LOUIS E|4|20130104|edgar/data/1012106/0001127602-13-001196.txt
1012493|FERRELLGAS PARTNERS FINANCE CORP|8-K|20130104|edgar/data/1012493/0001299933-13-000025.txt
1012766|METTLER ROBERT L|4|20130104|edgar/data/1012766/0001209191-13-001923.txt
1012779|Davis William L.|4|20130104|edgar/data/1012779/0001209191-13-001878.txt
1012856|BURGESS ERNEST G III|5|20130104|edgar/data/1012856/0001047335-13-000006.txt
1012930|SLARK MARTIN P|4|20130104|edgar/data/1012930/0001140361-13-001054.txt
1013056|DUBERSTEIN KENNETH M|4|20130104|edgar/data/1013056/0001225208-13-000859.txt
